STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160117,2.5,3.3,-1.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160118,2.8,-1.6,-7.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160119,0.0,-3.8,-8.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160120,0.0,0.6,-7.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160121,0.0,0.6,-6.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160122,0.0,0.0,-7.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160123,9.4,0.0,-6.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160124,0.0,2.2,-7.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160125,0.0,1.7,-3.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160126,0.0,10.6,-2.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160127,0.0,7.2,-0.5
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160128,0.0,5.6,-3.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160129,0.0,5.0,0.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160130,0.0,6.1,-1.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160131,0.0,13.9,3.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160201,0.0,18.3,3.9
